City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,vernon,50.2581,-119.2691,5.74,82,27,1.03,CA,1699500400
83,sinabang,2.4803,96.3801,27.34,77,99,1.1,ID,1699500401
84,onokhoy,51.932,108.0747,-9.14,66,71,4.98,RU,1699500402
85,dudinka,69.4058,86.1778,-5.21,90,100,12.64,RU,1699500403
86,pisco,-13.7,-76.2167,18.03,88,0,4.12,PE,1699500281
87,mount isa,-20.7333,139.5,35.87,32,40,6.17,AU,1699500404
88,naama,33.2667,-0.3167,9.52,29,100,0.87,DZ,1699500405
89,tamanrasset,22.785,5.5228,18.51,16,36,3.58,DZ,1699500406
90,lebu,-37.6167,-73.65,10.13,90,1,7.72,CL,1699500407
91,talnakh,69.4865,88.3972,-5.44,94,100,7.97,RU,1699500397
92,baarn,52.2117,5.2875,10.61,95,100,1.34,NL,1699500408
93,hawaiian paradise park,19.5933,-154.9731,25.73,83,100,3.6,US,1699500409
94,karema,-6.8205,30.4389,23.12,83,99,1.65,TZ,1699500410
95,hovd,48.0056,91.6419,-4.46,59,57,1.19,MN,1699500411
96,avarua,-21.2078,-159.775,25.03,69,75,6.69,CK,1699500347
97,puerto ayora,-0.7393,-90.3518,24.75,93,92,5.36,EC,1699500376
98,kirakira,-10.4544,161.9205,28.07,82,74,5.86,SB,1699500413
99,whitehorse,60.7161,-135.0538,4.43,70,100,9.77,CA,1699500354
100,rovnoye,50.7765,46.0509,8.22,82,100,5.65,RU,1699500414
101,ancud,-41.8697,-73.8203,7.76,90,88,2.49,CL,1699500416
102,san jose del cabo,23.0589,-109.6977,27.08,82,100,4.63,MX,1699500417
103,brezina,33.0989,1.2608,13.03,48,97,2.93,DZ,1699500418
104,queenstown,-31.8976,26.8753,12.47,88,76,1.4,ZA,1699500066
105,keflavik,64.0049,-22.5624,4.95,75,0,6.69,IS,1699500420
106,livadiya,42.8692,132.6764,2.74,96,100,4.76,RU,1699500421
107,udachny,66.4167,112.4,-17.87,85,85,2.79,RU,1699500422
108,invercargill,-46.4,168.35,13.34,62,37,3.13,NZ,1699500422
109,sur,22.5667,59.5289,26.09,67,0,0.57,OM,1699500423
110,sterling,39.0062,-77.4286,11.44,65,0,0.89,US,1699500424
111,la passe,45.5549,-0.8967,11.68,85,100,2.92,FR,1699500425
112,tokar,18.4254,37.729,28.58,70,1,4.69,SD,1699500426
113,novodvinsk,64.4165,40.8122,0.44,99,100,2.87,RU,1699500427
114,nova vicosa,-17.8919,-39.3719,22.32,73,0,3.61,BR,1699500428
115,saldanha,-33.0117,17.9442,12.03,84,0,6.48,ZA,1699500429
116,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699500430
117,mabaruma,8.2,-59.7833,24.09,97,73,1.54,GY,1699500432
118,kalawit,8.0667,122.5167,29.99,73,100,2.21,PH,1699500432
119,constantia,44.1833,28.65,8.38,57,99,8.42,RO,1699500433
120,hami,42.8,93.45,6.54,26,97,1.72,CN,1699500434
121,broome,42.2506,-75.833,3.68,74,100,3.09,US,1699500435
122,anadyr,64.75,177.4833,-3.72,73,75,11.0,RU,1699500436
123,onega,63.9061,38.1404,-3.46,98,89,1.57,RU,1699500437
124,hadibu,12.65,54.0333,25.85,75,21,3.33,YE,1699500438
125,batie,9.8833,-2.9167,27.21,64,100,3.15,BF,1699500439
126,antalaha,-14.9003,50.2788,23.09,81,18,1.97,MG,1699500440
127,wailua homesteads,22.0669,-159.378,27.24,81,75,4.63,US,1699500441
128,orzysz,53.8097,21.9481,8.39,79,100,3.96,PL,1699500442
129,dapa,9.7594,126.0531,29.26,71,17,2.72,PH,1699500443
130,weisendorf,49.6228,10.8253,4.1,93,57,1.34,DE,1699500443
131,coruripe,-10.1256,-36.1756,24.21,83,5,3.38,BR,1699500444
132,jamestown,42.097,-79.2353,10.95,52,100,9.26,US,1699500196
133,pacific grove,36.6177,-121.9166,13.7,78,0,2.06,US,1699500446
134,krasnovishersk,60.4078,57.082,1.46,98,100,2.16,RU,1699500447
135,yellowknife,62.456,-114.3525,-7.71,93,100,1.54,CA,1699500379
136,xai-xai,-25.0519,33.6442,19.18,84,0,2.4,MZ,1699500448
137,kerman,30.2832,57.0788,3.92,87,0,3.09,IR,1699500449
138,rongelap,11.1635,166.8941,27.78,81,49,10.43,MH,1699500450
139,catalao,-18.1658,-47.9464,22.24,52,3,2.36,BR,1699500451
140,port lincoln,-34.7333,135.8667,20.21,60,4,3.76,AU,1699500452
141,kimbe,-5.5502,150.1429,30.78,61,98,4.21,PG,1699500452
142,punta arenas,-53.15,-70.9167,3.06,70,20,3.6,CL,1699500453
143,faliraki,36.3398,28.1994,21.16,81,0,2.06,GR,1699500454
144,vilyuchinsk,52.9306,158.4028,1.15,63,10,6.06,RU,1699500455
145,kyzyl-mazhalyk,51.1333,90.6,-9.49,78,100,0.89,RU,1699500456
146,malango,-2.9627,119.9001,29.84,47,63,1.99,ID,1699500457
147,gadzhiyevo,69.2551,33.3362,-7.82,94,97,2.04,RU,1699500458
148,aksu,41.1231,80.2644,9.98,29,87,0.93,CN,1699500459
149,langepas,61.2544,75.2124,-4.54,88,94,5.41,RU,1699500459
150,iyo,33.7514,132.7014,21.92,56,20,3.09,JP,1699500460
151,whitby,54.4877,-0.615,7.4,85,100,2.24,GB,1699500461
152,urengoy,65.9667,78.3667,-2.68,92,100,8.32,RU,1699500462
153,pionerskiy,54.9508,20.2275,8.97,88,91,7.88,RU,1699500463
154,jianshui,23.6363,102.8264,20.72,73,78,1.96,CN,1699500464
155,makoua,0.0069,15.6333,22.17,97,100,0.99,CG,1699500464
156,chaoyang,41.5703,120.4586,-1.22,43,5,7.75,CN,1699500454
157,vadso,70.0744,29.7487,-2.91,74,100,3.6,NO,1699500466
158,curup,-3.4667,102.5333,28.92,52,89,0.83,ID,1699500467
159,bubaque,11.2833,-15.8333,29.03,64,31,5.37,GW,1699500468
160,tobelo,1.7284,128.0095,29.04,74,46,1.52,ID,1699500469
161,curitibanos,-27.2828,-50.5844,17.01,87,96,1.38,BR,1699500397
162,la ronge,55.1001,-105.2842,0.14,93,100,2.57,CA,1699500470
163,curuca,-0.7289,-47.8481,25.21,84,96,1.94,BR,1699500471
164,hirara,24.8,125.2833,29.15,65,40,4.12,JP,1699500397
165,tazovsky,67.4667,78.7,-1.58,90,100,8.28,RU,1699500473
166,sharlyk,52.9167,54.75,3.73,96,29,2.34,RU,1699500474
167,egilsstadir,65.2653,-14.3948,2.95,87,100,8.23,IS,1699500403
168,hamilton,39.1834,-84.5333,23.76,61,100,7.2,US,1699500476
169,rikaze,29.25,88.8833,3.8,45,5,1.06,CN,1699500476
170,nizhneangarsk,55.7833,109.55,-13.33,73,3,3.58,RU,1699500477
171,essaouira,31.5125,-9.77,16.72,44,100,6.69,MA,1699500478
172,north battleford,52.7834,-108.2847,0.05,74,100,7.2,CA,1699500479
173,ad dilam,23.9915,47.1627,18.23,40,0,1.56,SA,1699500480
174,launceston,-41.45,147.1667,25.8,53,100,5.66,AU,1699500481
175,fada,9.5667,8.3,21.04,62,100,1.13,NG,1699500482
176,cabo san lucas,22.8909,-109.9124,27.09,75,100,1.54,MX,1699500082
177,kinango,-4.1372,39.3153,22.34,92,64,1.47,KE,1699500483
178,awjilah,29.1081,21.2869,19.73,53,49,2.24,LY,1699500484
179,homer,59.6425,-151.5483,2.93,78,40,2.57,US,1699500485
180,zabaykal'sk,49.6333,117.3167,-10.8,78,74,4.3,RU,1699500486
181,college,64.8569,-147.8028,-0.82,74,75,3.09,US,1699500487
182,marana,32.4367,-111.2254,20.34,26,0,2.06,US,1699500419
183,grand falls-windsor,48.9332,-55.6649,3.06,94,100,2.68,CA,1699500271
184,utrik,11.2278,169.8474,27.9,82,77,9.48,MH,1699500489
185,salekhard,66.53,66.6019,-2.84,96,100,1.75,RU,1699500490
186,mount gambier,-37.8333,140.7667,21.47,45,8,3.62,AU,1699500491
187,aras-asan,8.8908,126.3033,29.6,70,19,3.03,PH,1699500492
188,montrose,38.4166,-108.2673,-2.24,57,12,1.35,US,1699500492
189,isafjordur,66.0755,-23.124,3.83,83,92,8.55,IS,1699500493
190,christchurch,-43.5333,172.6333,14.67,67,100,6.17,NZ,1699500327
191,dzilam gonzalez,21.2833,-88.9333,22.51,91,46,2.53,MX,1699500495
192,inhambane,-23.865,35.3833,19.99,88,40,2.06,MZ,1699500496
193,malvan,16.0667,73.4667,26.58,71,85,2.55,IN,1699500497
194,kadugli,11.0167,29.7167,25.97,60,100,1.1,SD,1699500498
195,kattivakkam,13.2167,80.3167,27.05,89,100,3.18,IN,1699500499
196,kerikeri,-35.2268,173.9474,19.95,67,36,0.45,NZ,1699500500
197,midelt,32.6852,-4.7451,10.71,37,100,2.16,MA,1699500501
198,soio,-6.1349,12.3689,25.69,90,100,2.29,AO,1699500502
199,progreso,21.2833,-89.6667,25.06,84,34,4.66,MX,1699500503
200,happy valley-goose bay,53.3168,-60.3315,-1.83,86,100,8.23,CA,1699500503
201,karymskoye,51.6167,114.35,-7.67,57,100,3.59,RU,1699500504
202,miches,18.9836,-69.0476,25.99,87,22,4.31,DO,1699500505
203,cidade velha,14.9167,-23.6167,24.26,60,20,8.23,CV,1699500506
204,kavaratti,10.5669,72.642,28.72,68,100,3.22,IN,1699500422
205,enewetak,11.3474,162.3373,28.37,72,89,9.8,MH,1699500468
